arm,group,accepted,all_gt_penalized_epe_px,temporal_matched_penalized_delta_epe_px,good_current_damage_rate,large_degradation_1px_rate,large_degradation_5px_rate,fixed_opportunity_recovery_rate,recoverable_to_1px_rate,fg_bg_spurious_mixing_rate
v1,baseline,True,0.33016213556377133,0.2582750298404227,0.015482018153250244,0.00280314142960865,0.001183098433166143,0.356738871865481,0.5053274465157805,0.1261109306737115
none_control,supervision,False,0.33006464138053265,0.2579666490637559,0.016617868716856263,0.0028745035409508653,0.0011905442055166458,0.37194382852633423,0.5131230938819639,0.12862219172346628
none_mild,supervision,False,0.33124439938239814,0.26120512020392045,0.013682865360408759,0.002389633652571999,0.0008152613735295982,0.3462556978538961,0.5029079400367631,0.13202215150297736
none_balanced,supervision,False,0.33339633174404576,0.2675054702038695,0.009397307688527442,0.0018019564364302105,0.0005144780170420667,0.29613923749171334,0.45216150472351085,0.14792802639710081
none_recover,supervision,False,0.33265172357224865,0.2627966185506592,0.018100328593312943,0.0025464939076762084,0.0006133447518013322,0.41016568178353674,0.5600011103257629,0.14932337502124401
none_protect,supervision,False,0.33415940373957476,0.2673064018914982,0.012422195746959769,0.0017501183529870443,0.0004186512251196286,0.33827259938425497,0.4525745835455054,0.1680066624919204
matching_mild,components,False,0.3307161847662887,0.2608983999018664,0.0138713075699619,0.0024508818402968558,0.0008230868902109275,0.3587795040469037,0.5214641809379336,0.1351852776519297
alignment_mild,components,False,0.3315958442324932,0.2619290113396249,0.014637535594872079,0.0023884924313893052,0.0007953754950116467,0.34694000950619175,0.5026264379541966,0.13073216406844446
ambiguity_mild,components,False,0.3309900479047155,0.2603286820460284,0.014299076965577594,0.002383490144811504,0.00080432632735396,0.35958929433440584,0.5161432426875717,0.13188472386435526
categorical_control,categorical,False,0.331860874288709,0.2607083968739628,0.017558844208679467,0.0016607293209767364,0.0007614788400573821,0.37198312323643423,0.5299771489312252,0.0
categorical_mild,categorical,False,0.33214622776289005,0.26206238209425037,0.01405102516029525,0.001413456115902137,0.0005109807904560762,0.34464588855272055,0.5203329973604671,0.0
residual_none_control,residual,False,0.33047802440487867,0.2586179510413743,0.0168760361382098,0.0027529793905156775,0.001139656476995653,0.3653833533547702,0.5049217385004047,0.1331174497827956
residual_none_guarded,residual,False,0.33079834847907136,0.25932500735605263,0.01480636036458976,0.0028140049009365933,0.0011040758249303401,0.34044815899042813,0.5041763460778762,0.13618895750599985
residual_matching_control,residual,False,0.32980059856282845,0.2576233491474303,0.017272207187012098,0.0029539635510336935,0.0011961668074411374,0.3801226588326204,0.5303331432083428,0.13649496304799844
residual_matching_guarded,residual,False,0.33054772675978433,0.2593633080742767,0.013792554828452583,0.0029171144336120067,0.0011174921324927413,0.33353403142796395,0.5194042757265067,0.13901950876948665
residual_ambiguity_control,residual,False,0.3303649108911365,0.2579809019262738,0.018137554698161217,0.0027562777980802925,0.00113815539338427,0.3829491207191864,0.5138916965040577,0.1341133420706772
residual_ambiguity_guarded,residual,False,0.33069311655780353,0.2591292905608618,0.01464821318961389,0.002832244557957558,0.0011130564801258597,0.33930506507039526,0.506354654672221,0.13527643798554903
