metric,v1,categorical_control,categorical_mild
all_gt_bad1,0.055217829857616314,0.055259442678790155,0.05528022125471408
all_gt_bad3,0.015434286830126228,0.01559680149819835,0.015645965465804018
all_gt_penalized_epe_px,0.33016213556377133,0.331860874288709,0.33214622776289005
bad1_px,0.05387779632748857,0.05391946817028392,0.05394027621753925
bad3_px,0.014037826238513946,0.014200571409564676,0.014249805108974297
boundary_good_current_damage_rate,0.10900088008992602,0.12007810435020028,0.11286557860829609
common_valid_epe_px,0.44487593762966493,0.4496213880812813,0.4415407064869843
completeness_1px,0.9447821701423836,0.9447405573212099,0.9447197787452859
completeness_2px,0.9782768885866557,0.9781629513700761,0.9781064947207665
dynamic_epe_px,0.6150783528475462,0.6143475218457066,0.6170923637638474
dynamic_penalized_epe_px,0.40729357963059787,0.4105478256939094,0.41285593491546535
dynamic_pixels,1.0,1.0,1.0
epe_px,0.44487593762966493,0.4496213880812813,0.4415407064869843
error_increase_over_v1_5px_rate,0.0,0.000570507205455823,0.0005942322792765304
fg_bg_background_gt_error_px,4.658000866490277,6.788614512054028,6.011795851050719
fg_bg_error_px,3.9367926145560843,5.873861283110402,5.643049684860873
fg_bg_foreground_gt_error_px,2.910199737572226,4.571769763063291,5.118163583501978
fg_bg_spurious_mixing_rate,0.1261109306737115,0.0,0.0
fixed_opportunity_epe_px,1.0599092696347319,1.1277794698333468,1.1599196799459814
fixed_opportunity_recovery_rate,0.356738871865481,0.37198312323643423,0.34464588855272055
good_current_damage_rate,0.015482018153250244,0.017558844208679467,0.01405102516029525
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0016607293209767364,0.001413456115902137
large_degradation_5px_excess_mean,0.01332560879584606,0.013288434327013345,0.0030469655611432694
large_degradation_5px_rate,0.001183098433166143,0.0007614788400573821,0.0005109807904560762
metric_depth_absrel,0.030842524743474205,0.030805944374284914,0.030689578832095856
metric_depth_rmse_squared,7.246282558952321,7.2745153254991894,7.271808515914401
new_large_5px_vs_v1_rate,0.0,0.00018900531448015794,4.8555581400261056e-05
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.40371745122020086,0.40790792080174826
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.5299771489312252,0.5203329973604671
rejection_task_failure_rate,0.2654313649164302,0.2636000840782331,0.21216472099871658
removed_large_5px_vs_v1_rate,0.0,0.0006106249075889189,0.0007206732241103279
rigid_temporal_residual_epe_px,0.2070133529295863,0.2093945883312943,0.20973080012378503
scale_error_log,0.0023643838735119284,0.002354090005941708,0.002352452512154165
spring_boundary_bad1,0.31108591258294016,0.3108793883764499,0.31149832631796587
spring_boundary_epe_px,1.4080418383139552,1.4165725207982944,1.4251778614885793
spring_high_detail_bad1,0.5637003414815295,0.5641086538274582,0.5656029066825514
spring_high_detail_epe_px,3.07545492132473,3.1164662030951154,3.1402718283939763
spring_low_detail_bad1,0.04884762953292622,0.04888464839191206,0.04888696748079953
spring_low_detail_epe_px,0.29576947781164303,0.29697571429953673,0.29696640898056503
spring_matched_bad1,0.2579814837153132,0.258726378999622,0.25923851681945775
spring_matched_epe_px,1.279725124174975,1.2930074195914436,1.3005820121169434
spring_unmatched_completion_1px,0.95674073012179,0.9567405953730312,0.9567487960982688
spring_unmatched_completion_2px,0.9847693478020908,0.9846849003339123,0.9846680209464335
static_epe_px,0.38483830065127045,0.3915154686844102,0.37961616412927673
static_penalized_epe_px,0.30293328129298713,0.3040828965943179,0.30365417914532344
static_pixels,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8073657304451771,0.8073642550008666
temporal_disocclusion_completion_2px,0.8861495095492925,0.8864288892690327,0.8864014633630254
temporal_disocclusion_current_epe_px,1.0240037967619038,1.0184244292381404,1.0182175131895306
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.24878377058475842,0.25127321589368506
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.41868608512552324,0.40365086708994863
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2607083968739628,0.26206238209425037
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.13621631755047167,0.13597481151887872
temporal_prediction_transport_miss_rate,0.00498589849879773,0.004958628067023429,0.004957700196788458
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.29870204592190114,0.29888956749508805
uncertainty_1sigma_coverage,0.8745534696790634,0.8745178863453588,0.8745304894397159
uncertainty_2sigma_coverage,0.9693019840499937,0.96920561119387,0.9692418455878994
uncertainty_brier,0.0490936870378639,0.04919207431485658,0.04925351192903692
uncertainty_ece,0.048291030583228645,0.04839175861830098,0.04845313297137212
uncertainty_nll,-2.8438761131708032,-2.8386528795814745,-2.843642769338952
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04919207431485658,0.04925351192903692
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04839175861830098,0.04845313297137212
metric_depth_rmse,2.69189200358267,2.6971309433357495,2.696629102400699
epe_at_99pct_coverage_px,0.3133879161655182,0.3150821843577653,0.3153604174759697
