metric,v1,learned_codd_capacity_control,learned_codd_codd,learned_codd_codd_regret
all_gt_bad1,0.055217829857616314,0.05523969398539695,0.05483360812242823,0.05488961544074964
all_gt_bad3,0.015434286830126228,0.015452168612908717,0.015191405537233808,0.015248575946830259
all_gt_penalized_epe_px,0.33016213556377133,0.33037715270943313,0.32823559394420804,0.3285984765480723
bad1_px,0.05387779632748857,0.053899691466295085,0.05349302963069513,0.05354911638709957
bad3_px,0.014037826238513946,0.014055733383955962,0.01379460045449267,0.013851851951844806
boundary_good_current_damage_rate,0.10900088008992602,0.11489414231896435,0.07174867768667056,0.06883058414153473
common_valid_epe_px,0.44487593762966493,0.44390010780880873,0.44461928064910494,0.4428895700542554
completeness_1px,0.9447821701423836,0.944760306014603,0.9451663918775718,0.9451103845592503
completeness_2px,0.9782768885866557,0.9782574540273162,0.978597193982852,0.9785419918815672
dynamic_epe_px,0.6150783528475462,0.6136078418671184,0.6161643695881944,0.6161375919186116
dynamic_penalized_epe_px,0.40729357963059787,0.4078850523559093,0.40395713876435796,0.40506409838026
dynamic_pixels,1.0,1.0,1.0,1.0
epe_px,0.44487593762966493,0.44390010780880873,0.44461928064910494,0.4428895700542554
error_increase_over_v1_5px_rate,0.0,7.247947424234366e-05,0.00046877747678875407,0.0003950414663313189
fg_bg_background_gt_error_px,4.658000866490277,4.816193212376295,4.415035175289397,4.703766539842321
fg_bg_error_px,3.9367926145560843,4.080243165625502,3.769548581700113,4.193083794801637
fg_bg_foreground_gt_error_px,2.910199737572226,3.0326663058432044,2.850740543397469,3.466160236937011
fg_bg_spurious_mixing_rate,0.1261109306737115,0.1330954613606161,0.05182396252439913,0.047588900794194325
fixed_opportunity_epe_px,1.0599092696347319,1.0672949575221373,1.051123571309891,1.0769613682422157
fixed_opportunity_recovery_rate,0.356738871865481,0.35701691781581524,0.2806001871118317,0.2750799656218853
good_current_damage_rate,0.015482018153250244,0.016321151950096677,0.009581704448784974,0.009529679572276998
gt_valid_pixels,0.9884998571129573,0.9884998571129573,0.9884998571129573,0.9884998571129573
large_degradation_1px_rate,0.00280314142960865,0.0027214029535408617,0.002976241222378789,0.002715851926464065
large_degradation_5px_excess_mean,0.01332560879584606,0.01173081398050337,0.014998264730526997,0.011372141730036422
large_degradation_5px_rate,0.001183098433166143,0.001123951762497223,0.001415929424528045,0.0012197348142349584
metric_depth_absrel,0.030842524743474205,0.030798004611405597,0.031223083932111362,0.03112191641775472
metric_depth_rmse_squared,7.246282558952321,7.245424524941582,7.335729032958749,7.316706446435076
new_large_5px_vs_v1_rate,0.0,3.3216693901161304e-05,0.0003773704317114876,0.0002840089956541025
non_rigid_temporal_residual_epe_px,0.40113879589913026,0.4012462701983291,0.40288832192017693,0.4044107227374236
prediction_coverage,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
prediction_valid_fraction,0.9985836570319075,0.9985836570319075,0.9985836570319075,0.9985836570319075
recoverable_to_1px_rate,0.5053274465157805,0.49857202383687493,0.5161192483596426,0.5047932982744314
rejection_task_failure_rate,0.2654313649164302,0.291383848856035,0.07160139090775142,0.0721018283458082
removed_large_5px_vs_v1_rate,0.0,9.236336457008138e-05,0.00014453944034958555,0.00024737261458528706
rigid_temporal_residual_epe_px,0.2070133529295863,0.20686064906055987,0.20822668858717452,0.20884583929708397
scale_error_log,0.0023643838735119284,0.002361831603010582,0.0023640527301893055,0.002361913552558191
spring_boundary_bad1,0.31108591258294016,0.3114437621475094,0.30759119442728095,0.3081122468945117
spring_boundary_epe_px,1.4080418383139552,1.4102125678435022,1.3902567807837591,1.3938529940141389
spring_high_detail_bad1,0.5637003414815295,0.5648422019813996,0.555899984846968,0.5572695425503725
spring_high_detail_epe_px,3.07545492132473,3.0852966936300255,3.0384892573207276,3.054935505611198
spring_low_detail_bad1,0.04884762953292622,0.04885546249721541,0.04855631613551569,0.04859586747177622
spring_low_detail_epe_px,0.29576947781164303,0.29586389226706133,0.2942819015914548,0.2944432939592208
spring_matched_bad1,0.2579814837153132,0.25828978025874705,0.2561262425080745,0.2563359741190835
spring_matched_epe_px,1.279725124174975,1.282828960012578,1.2679560495290612,1.2707006089339985
spring_unmatched_completion_1px,0.95674073012179,0.9567357591558628,0.9570381943230083,0.9569912533296392
spring_unmatched_completion_2px,0.9847693478020908,0.9847725059761232,0.9850184919406125,0.9849812507524218
static_epe_px,0.38483830065127045,0.3840369659328509,0.3841080254946632,0.38177761796707727
static_penalized_epe_px,0.30293328129298713,0.30301540251997766,0.30150446069484005,0.301604670081936
static_pixels,1.0,1.0,1.0,1.0
temporal_disocclusion_completion_1px,0.8072329404572298,0.8073087956529592,0.8077321613792384,0.8077661833892223
temporal_disocclusion_completion_2px,0.8861495095492925,0.8861423927002653,0.8863688300065102,0.886423247864316
temporal_disocclusion_current_epe_px,1.0240037967619038,1.025054338351263,1.0277703690191557,1.0250977558965204
temporal_large_motion_penalized_delta_epe_px,0.25072727392769417,0.24993243194208078,0.24986188194282957,0.25065064397479997
temporal_matched_common_valid_delta_epe_px,0.4068817859334396,0.40471493474018366,0.40972901190662614,0.4077344214391551
temporal_matched_penalized_delta_epe_px,0.2582750298404227,0.2581910298414032,0.25962995444562054,0.26048762162438494
temporal_medium_motion_penalized_delta_epe_px,0.1386002171986689,0.1383008749066841,0.1507321550893935,0.15097589259225974
temporal_prediction_transport_miss_rate,0.00498589849879773,0.0049675059131532055,0.004946620693653771,0.0049470154454642635
temporal_small_motion_penalized_delta_epe_px,0.2897734094872344,0.2906409539371969,0.2920137097614947,0.2930717029697787
uncertainty_1sigma_coverage,0.8745534696790634,0.8746536234634942,0.8739988518959333,0.874124090417458
uncertainty_2sigma_coverage,0.9693019840499937,0.9693406375213758,0.9689316900061041,0.9689897398985332
uncertainty_brier,0.0490936870378639,0.04912072112664313,0.04884633196112885,0.0489197925908192
uncertainty_ece,0.048291030583228645,0.04831847330509189,0.04804484719185261,0.04811712879648102
uncertainty_nll,-2.8438761131708032,-2.8440484470193654,-2.8417265096288102,-2.842080661448031
validity_confidence_brier_0p1_log_depth,0.0490936870378639,0.04912072112664313,0.04884633196112885,0.0489197925908192
validity_confidence_ece_0p1_log_depth,0.048291030583228645,0.04831847330509189,0.04804484719185261,0.04811712879648102
metric_depth_rmse,2.69189200358267,2.691732625083996,2.70845510078324,2.704941116999606
epe_at_99pct_coverage_px,0.3133879161655182,0.31359955031881953,0.31144660786171213,0.31181728303173206
